Event frame,Sequence frame,Class ID,Score,Bboxes
5356,0,60,0.042848099023103714,"[428.53472900390625, 659.8076782226562, 906.9400024414062, 1015.0499877929688]"
5356,0,32,0.023177793249487877,"[404.0477294921875, 561.9153442382812, 419.2169494628906, 577.3699951171875]"
5356,0,32,0.018611591309309006,"[147.91940307617188, 581.3230590820312, 161.51773071289062, 600.8223266601562]"
5356,0,38,0.018033035099506378,"[332.54083251953125, 505.3686218261719, 437.3092956542969, 584.3208618164062]"
5356,0,60,0.01650555059313774,"[865.4000244140625, 696.6232299804688, 1415.131591796875, 1000.6878662109375]"
5356,0,38,0.014663292095065117,"[154.33616638183594, 555.9470825195312, 208.8640594482422, 601.208984375]"
5356,0,32,0.013855380937457085,"[155.6367950439453, 580.6407470703125, 173.40113830566406, 598.6527099609375]"
5356,0,38,0.012593045830726624,"[147.28187561035156, 564.41162109375, 167.99688720703125, 591.2112426757812]"
5356,0,38,0.011640463955700397,"[383.4878234863281, 549.7709350585938, 435.28680419921875, 584.0211181640625]"
5396,0,60,0.17812137305736542,"[407.3299560546875, 608.66845703125, 1402.2657470703125, 930.6279907226562]"
5396,0,38,0.14633101224899292,"[1669.13134765625, 549.9039916992188, 1705.8380126953125, 594.1320190429688]"
5396,0,60,0.05860738456249237,"[399.7268981933594, 618.890380859375, 920.5032348632812, 1009.64208984375]"
5396,0,60,0.04671374335885048,"[441.615234375, 778.1486206054688, 834.6373291015625, 1004.6482543945312]"
5396,0,60,0.03126963973045349,"[863.0953369140625, 636.1611328125, 1429.4652099609375, 1005.3517456054688]"
5396,0,38,0.025575369596481323,"[290.9399719238281, 676.1795043945312, 351.0592346191406, 724.5994873046875]"
5396,0,38,0.020812705159187317,"[153.7344512939453, 518.9156494140625, 186.59539794921875, 613.66650390625]"
5396,0,38,0.015755724161863327,"[138.58843994140625, 448.9851379394531, 187.01065063476562, 619.5626831054688]"
6624,0,38,0.7939224243164062,"[1423.6434326171875, 624.2255859375, 1490.20654296875, 682.3201293945312]"
6624,0,32,0.3793325424194336,"[359.4260559082031, 548.263427734375, 389.62457275390625, 583.95361328125]"
6624,0,60,0.2854013741016388,"[406.9434814453125, 602.8096313476562, 1429.7828369140625, 1005.4812622070312]"
6624,0,38,0.2456502765417099,"[342.2345886230469, 513.8972778320312, 392.4851379394531, 586.5067749023438]"
6624,0,32,0.21521779894828796,"[363.9102478027344, 549.1427001953125, 387.7436828613281, 568.7872924804688]"
6624,0,38,0.13190093636512756,"[324.8736267089844, 482.19610595703125, 389.71734619140625, 576.3257446289062]"
6624,0,38,0.11392850428819656,"[357.34564208984375, 541.3803100585938, 392.0933837890625, 587.5814208984375]"
6624,0,60,0.044254377484321594,"[432.6856994628906, 644.0012817382812, 929.5875244140625, 1013.5999755859375]"
6624,0,32,0.04099416360259056,"[1424.3763427734375, 625.4282836914062, 1477.2222900390625, 674.8107299804688]"
6624,0,60,0.03475164994597435,"[867.1848754882812, 640.969482421875, 1428.91162109375, 1008.4020385742188]"
6624,0,38,0.02760280855000019,"[359.5888366699219, 546.18408203125, 390.6581115722656, 570.9264526367188]"
6624,0,38,0.01375564280897379,"[360.8128662109375, 522.9432373046875, 389.9176330566406, 575.516845703125]"
6624,0,60,0.011179688386619091,"[952.579345703125, 765.8845825195312, 1390.89453125, 1000.4563598632812]"
6624,0,38,0.010313971899449825,"[1464.9515380859375, 654.5886840820312, 1497.51806640625, 678.8670654296875]"
6716,0,60,0.1324215531349182,"[410.91265869140625, 585.8705444335938, 1423.03759765625, 1027.7086181640625]"
6716,0,60,0.05313995108008385,"[428.74139404296875, 647.0411987304688, 917.7628173828125, 1016.5105590820312]"
6716,0,60,0.032006386667490005,"[379.905517578125, 617.461181640625, 1439.6014404296875, 838.1098022460938]"
6716,0,60,0.028985818848013878,"[447.34820556640625, 782.0864868164062, 833.55615234375, 1005.6268310546875]"
6716,0,60,0.026708753779530525,"[862.5786743164062, 642.9556274414062, 1424.74267578125, 1007.3751220703125]"
6716,0,32,0.02669278159737587,"[508.01788330078125, 467.14013671875, 556.5233764648438, 533.5421142578125]"
6716,0,38,0.023933472111821175,"[1437.9215087890625, 640.3170166015625, 1487.362060546875, 709.622314453125]"
6716,0,60,0.012890920974314213,"[945.6047973632812, 771.6929321289062, 1387.48681640625, 1002.129150390625]"
6716,0,32,0.011402313597500324,"[459.3500671386719, 467.6948547363281, 509.11431884765625, 529.1885375976562]"
6716,0,32,0.010539619252085686,"[319.0879211425781, 569.4684448242188, 363.15826416015625, 618.371337890625]"
6771,0,38,0.31189727783203125,"[391.4821472167969, 545.1555786132812, 484.5185546875, 595.1998901367188]"
6771,0,60,0.18863727152347565,"[417.6505432128906, 606.42138671875, 1403.3048095703125, 931.7162475585938]"
6771,0,38,0.0649987980723381,"[384.1456298828125, 540.002685546875, 416.0546569824219, 591.03466796875]"
6771,0,60,0.05849676579236984,"[429.2517395019531, 660.48583984375, 897.08251953125, 1012.772216796875]"
6771,0,32,0.021992363035678864,"[199.7126007080078, 808.0853271484375, 232.5647430419922, 852.6600952148438]"
6771,0,60,0.013412215746939182,"[471.4914245605469, 797.858642578125, 794.1475830078125, 1001.7522583007812]"
6771,0,60,0.011830228380858898,"[403.80279541015625, 611.7413940429688, 908.5900268554688, 813.3937377929688]"
6771,0,60,0.010906235314905643,"[871.4232788085938, 671.1747436523438, 1411.14306640625, 1008.0350952148438]"
6849,0,38,0.29315075278282166,"[351.84625244140625, 503.4136962890625, 422.9786376953125, 550.0216674804688]"
6849,0,38,0.17096379399299622,"[355.110595703125, 504.4226989746094, 391.97662353515625, 553.4915161132812]"
6849,0,32,0.1700408160686493,"[357.3984680175781, 505.53472900390625, 391.9632568359375, 549.7019653320312]"
6849,0,60,0.14000433683395386,"[414.5487060546875, 609.3803100585938, 1403.645263671875, 926.289794921875]"
6849,0,60,0.06129007786512375,"[430.5655822753906, 652.4921264648438, 913.6094970703125, 1015.6556396484375]"
6849,0,38,0.059036947786808014,"[1671.5673828125, 598.9739379882812, 1740.82568359375, 641.52294921875]"
6849,0,38,0.03670768439769745,"[325.3009338378906, 514.7256469726562, 389.5372619628906, 555.5565795898438]"
6849,0,32,0.028599178418517113,"[459.0993347167969, 467.8273010253906, 510.23809814453125, 531.513916015625]"
6849,0,38,0.028185799717903137,"[342.9918212890625, 456.2471008300781, 422.1462097167969, 541.41162109375]"
6849,0,60,0.019037092104554176,"[871.2193603515625, 708.6978149414062, 1418.802001953125, 1000.514404296875]"
6849,0,32,0.015987463295459747,"[361.400146484375, 504.33831787109375, 421.1918640136719, 547.912841796875]"
6849,0,32,0.015823785215616226,"[508.4780578613281, 467.2308349609375, 556.1901245117188, 533.2564697265625]"
6849,0,38,0.014702807180583477,"[387.8172607421875, 512.1049194335938, 423.9608459472656, 546.11474609375]"
6849,0,38,0.013370746746659279,"[297.9097900390625, 509.02459716796875, 414.44537353515625, 552.9517211914062]"
6849,0,32,0.011991430073976517,"[1673.765869140625, 600.1932983398438, 1709.4794921875, 639.0353393554688]"
6950,0,38,0.37195152044296265,"[1680.5419921875, 532.5501708984375, 1724.2342529296875, 569.343994140625]"
6950,0,38,0.14990003407001495,"[1682.24609375, 535.4202880859375, 1753.7957763671875, 573.2991943359375]"
6950,0,60,0.1125783920288086,"[416.9338073730469, 610.5997314453125, 1404.87939453125, 940.5442504882812]"
6950,0,60,0.04738183692097664,"[421.4135437011719, 622.5650024414062, 957.0010375976562, 1014.7808227539062]"
6950,0,38,0.0314585380256176,"[1683.812255859375, 526.4659423828125, 1776.5684814453125, 584.702880859375]"
6950,0,60,0.028775062412023544,"[469.87933349609375, 729.8271484375, 837.4259643554688, 1016.8672485351562]"
6950,0,60,0.020139772444963455,"[874.6539916992188, 694.2611083984375, 1417.95947265625, 1004.6121826171875]"
6950,0,38,0.017734898254275322,"[1686.810546875, 503.62841796875, 1780.8763427734375, 567.1858520507812]"
6950,0,38,0.013385072350502014,"[92.41110229492188, 561.3651733398438, 139.1219940185547, 692.494384765625]"
6950,0,38,0.011548353359103203,"[1714.453125, 460.9977722167969, 1826.265625, 571.665771484375]"
8122,0,38,0.5999003052711487,"[1433.880126953125, 605.8184204101562, 1509.334716796875, 668.3871459960938]"
8122,0,60,0.10911089926958084,"[412.1300048828125, 609.8631591796875, 1404.2188720703125, 928.4968872070312]"
8122,0,32,0.1071518287062645,"[1433.867919921875, 607.4086303710938, 1488.8924560546875, 653.202880859375]"
8122,0,60,0.0352119505405426,"[425.3955383300781, 718.1849975585938, 905.8348388671875, 1003.0673828125]"
8122,0,60,0.03280125930905342,"[853.518310546875, 640.8848266601562, 1430.7647705078125, 1008.5028686523438]"
8122,0,32,0.01917419768869877,"[370.0230407714844, 574.734619140625, 389.07537841796875, 586.468994140625]"
8122,0,32,0.013700829818844795,"[458.56689453125, 467.37225341796875, 509.76763916015625, 529.96337890625]"
8122,0,38,0.010067975148558617,"[1452.9259033203125, 617.6165161132812, 1519.4219970703125, 660.5315551757812]"
8210,0,38,0.5667923092842102,"[336.39837646484375, 498.2484436035156, 389.0559997558594, 543.6431884765625]"
8210,0,38,0.24659563601016998,"[339.18212890625, 497.48895263671875, 437.07843017578125, 546.1383666992188]"
8210,0,60,0.19362641870975494,"[399.33349609375, 610.6328125, 1434.8729248046875, 1006.2390747070312]"
8210,0,38,0.16712741553783417,"[344.562255859375, 534.3374633789062, 373.63641357421875, 552.0912475585938]"
8210,0,38,0.08698012679815292,"[332.2415771484375, 525.6376342773438, 374.9076843261719, 550.7708129882812]"
8210,0,38,0.05205482244491577,"[353.0616760253906, 538.0223999023438, 375.8999938964844, 551.020263671875]"
8210,0,60,0.03758394345641136,"[426.91229248046875, 648.68115234375, 922.8827514648438, 1016.2587890625]"
8210,0,38,0.023586831986904144,"[345.1230773925781, 528.1287231445312, 401.0009460449219, 549.8854370117188]"
8210,0,60,0.019402911886572838,"[942.8243408203125, 762.4637451171875, 1395.513427734375, 1000.4161987304688]"
8210,0,32,0.01938422955572605,"[459.40826416015625, 466.83880615234375, 509.68511962890625, 529.982177734375]"
8210,0,38,0.018676867708563805,"[332.5032653808594, 523.8902587890625, 355.5447998046875, 554.0919189453125]"
8210,0,32,0.014295529574155807,"[507.4215087890625, 467.45355224609375, 556.3707885742188, 533.9961547851562]"
8210,0,38,0.011711837723851204,"[334.7468566894531, 535.40185546875, 367.0054626464844, 555.4209594726562]"
8210,0,38,0.010477994568645954,"[394.2476806640625, 506.7873840332031, 438.1705627441406, 542.4173583984375]"
8268,0,38,0.5817787051200867,"[1578.627197265625, 536.7342529296875, 1635.6265869140625, 614.2965087890625]"
8268,0,38,0.25519636273384094,"[379.76336669921875, 560.6494750976562, 417.73016357421875, 608.8846435546875]"
8268,0,60,0.0995817556977272,"[419.75433349609375, 611.1289672851562, 1409.921875, 945.5977783203125]"
8268,0,38,0.06691539287567139,"[362.791015625, 557.3873291015625, 430.2951354980469, 612.1408081054688]"
8268,0,38,0.0575433187186718,"[382.16259765625, 535.6536254882812, 426.6510314941406, 564.1005249023438]"
8268,0,38,0.054291363805532455,"[390.7712097167969, 560.7947387695312, 415.5152587890625, 593.179931640625]"
8268,0,60,0.05314438045024872,"[429.42852783203125, 656.2825927734375, 911.1553344726562, 1015.3999633789062]"
8268,0,38,0.03914383053779602,"[1586.1654052734375, 565.7227783203125, 1632.5875244140625, 612.24853515625]"
8268,0,38,0.036170486360788345,"[402.4248046875, 538.8963623046875, 426.2474670410156, 569.59716796875]"
8268,0,38,0.026438750326633453,"[393.2464599609375, 568.9970092773438, 416.3232727050781, 604.5333862304688]"
8268,0,32,0.026372186839580536,"[415.4500427246094, 573.6040649414062, 430.85601806640625, 585.5170288085938]"
8268,0,32,0.021707532927393913,"[1578.482177734375, 537.8766479492188, 1630.224365234375, 592.8682861328125]"
8268,0,38,0.02111026458442211,"[1587.9849853515625, 588.2598876953125, 1625.8970947265625, 613.9254150390625]"
8268,0,32,0.020170241594314575,"[371.41131591796875, 580.5003051757812, 401.05596923828125, 607.0439453125]"
8268,0,32,0.019014501944184303,"[459.064697265625, 466.359130859375, 509.8229675292969, 530.3175659179688]"
8268,0,38,0.018921950832009315,"[369.310302734375, 577.2686157226562, 405.64263916015625, 608.716796875]"
8268,0,38,0.01879771612584591,"[366.31317138671875, 727.2303466796875, 426.453125, 762.0839233398438]"
8268,0,60,0.01500170212239027,"[848.8654174804688, 699.7470703125, 1418.292724609375, 1002.9675903320312]"
8268,0,38,0.013977015390992165,"[402.9558410644531, 572.7716064453125, 433.373779296875, 592.7338256835938]"
8268,0,38,0.013029901310801506,"[313.2635803222656, 485.3707275390625, 421.6329650878906, 580.3121948242188]"
8268,0,38,0.011374731548130512,"[1583.9393310546875, 552.537353515625, 1665.9642333984375, 628.3289794921875]"
8268,0,38,0.011114959605038166,"[385.3677978515625, 555.6533813476562, 416.96954345703125, 570.9429931640625]"
8268,0,60,0.011060715653002262,"[456.1305236816406, 789.5535888671875, 810.0345458984375, 1003.8722534179688]"
8268,0,38,0.01010191347450018,"[351.3207092285156, 530.2554321289062, 429.711669921875, 598.092529296875]"
8364,0,38,0.24852439761161804,"[245.11277770996094, 567.072021484375, 303.2795715332031, 622.9966430664062]"
8364,0,60,0.1818295568227768,"[396.0346374511719, 615.3447875976562, 1433.954345703125, 1006.3447265625]"
8364,0,60,0.04994475841522217,"[425.170654296875, 659.507080078125, 910.0090942382812, 1013.5927124023438]"
8364,0,32,0.041733670979738235,"[250.38812255859375, 569.9171752929688, 302.3047790527344, 620.1625366210938]"
8364,0,60,0.015796195715665817,"[857.24853515625, 705.8308715820312, 1414.7452392578125, 1001.8359375]"
9705,0,38,0.4471607208251953,"[500.10687255859375, 467.37115478515625, 556.5928955078125, 537.7467041015625]"
9705,0,38,0.4412911832332611,"[1402.3779296875, 628.890869140625, 1488.517578125, 675.0216674804688]"
9705,0,60,0.17853271961212158,"[415.39837646484375, 601.1387939453125, 1399.9676513671875, 956.0839233398438]"
9705,0,60,0.06583906710147858,"[431.71099853515625, 649.1493530273438, 904.2476806640625, 1014.826171875]"
9705,0,60,0.033678121864795685,"[891.741943359375, 689.283203125, 1404.4222412109375, 1007.0528564453125]"
9705,0,38,0.023307645693421364,"[460.60107421875, 466.15155029296875, 555.4193115234375, 547.6727294921875]"
9705,0,32,0.02288278006017208,"[538.00048828125, 535.6760864257812, 552.5549926757812, 548.6126708984375]"
9705,0,38,0.0197770893573761,"[1582.5546875, 487.03228759765625, 1629.6195068359375, 539.8145751953125]"
9705,0,38,0.014098398387432098,"[1434.214111328125, 639.978759765625, 1492.7000732421875, 675.014404296875]"
9705,0,60,0.012456928379833698,"[974.0221557617188, 797.8778076171875, 1338.6966552734375, 995.4146118164062]"
9787,0,38,0.9670134782791138,"[499.6043701171875, 468.3156433105469, 554.566650390625, 551.8580322265625]"
9787,0,38,0.6961072683334351,"[460.4866943359375, 461.29510498046875, 542.7567749023438, 550.564208984375]"
9787,0,32,0.5964670777320862,"[1330.613037109375, 687.6121826171875, 1352.212646484375, 703.7608032226562]"
9787,0,60,0.22056527435779572,"[409.3908386230469, 581.2968139648438, 1365.25927734375, 1027.125]"
9787,0,38,0.08733662217855453,"[1321.4151611328125, 688.13623046875, 1391.9752197265625, 818.8656616210938]"
9787,0,32,0.060236312448978424,"[1348.2293701171875, 708.0662231445312, 1377.7740478515625, 732.798828125]"
9787,0,60,0.05834175646305084,"[433.7547607421875, 661.3838500976562, 899.2407836914062, 1013.105224609375]"
9787,0,32,0.042340636253356934,"[511.2274169921875, 470.9170227050781, 556.5869750976562, 527.3126831054688]"
9787,0,60,0.03678970783948898,"[392.3694152832031, 599.1110229492188, 1374.247314453125, 821.3563842773438]"
9787,0,38,0.029437869787216187,"[368.9388732910156, 484.3431396484375, 440.4446105957031, 519.1681518554688]"
9787,0,32,0.029224328696727753,"[1327.70458984375, 685.6461181640625, 1342.5269775390625, 700.3285522460938]"
9787,0,38,0.02298136241734028,"[1340.927978515625, 705.7544555664062, 1384.3587646484375, 737.2330932617188]"
9787,0,32,0.02221733331680298,"[1332.739013671875, 683.119140625, 1378.2186279296875, 708.85107421875]"
9787,0,38,0.021966293454170227,"[503.8269348144531, 518.9397583007812, 538.60498046875, 552.8397827148438]"
9787,0,38,0.020260624587535858,"[398.19488525390625, 477.9408874511719, 446.13134765625, 517.480712890625]"
9787,0,32,0.01971743255853653,"[1330.32568359375, 688.2154541015625, 1356.5150146484375, 715.7640991210938]"
9787,0,38,0.019292080774903297,"[409.15081787109375, 439.4393310546875, 552.183837890625, 550.072998046875]"
9787,0,38,0.018414972350001335,"[1329.9500732421875, 684.5635986328125, 1386.6121826171875, 755.9545288085938]"
9787,0,60,0.01771567389369011,"[946.7828369140625, 752.354736328125, 1350.97119140625, 993.8906860351562]"
9787,0,32,0.014642796479165554,"[406.1039123535156, 478.87225341796875, 441.7418212890625, 516.4520263671875]"
9787,0,32,0.012951355427503586,"[1342.358154296875, 698.8026733398438, 1380.787353515625, 737.61767578125]"
9787,0,32,0.011126122437417507,"[1328.6160888671875, 689.6585083007812, 1339.3619384765625, 702.6994018554688]"
9871,0,38,0.7082575559616089,"[1405.492431640625, 603.22900390625, 1500.5703125, 654.23681640625]"
9871,0,60,0.17383459210395813,"[414.06817626953125, 609.2022094726562, 1405.0897216796875, 936.5735473632812]"
9871,0,60,0.06089789792895317,"[412.10870361328125, 620.75048828125, 994.405029296875, 1009.0771484375]"
9871,0,32,0.05168471857905388,"[1405.1209716796875, 604.5010986328125, 1460.2374267578125, 648.0968017578125]"
9871,0,60,0.03631942346692085,"[871.2134399414062, 692.0556030273438, 1419.1484375, 1004.700439453125]"
9871,0,60,0.035482726991176605,"[466.7687072753906, 721.3943481445312, 844.6334228515625, 1020.4169921875]"
9871,0,38,0.011316056363284588,"[1437.1619873046875, 617.7161865234375, 1508.657470703125, 651.6556396484375]"
9871,0,38,0.010640508495271206,"[489.199951171875, 469.7635803222656, 563.400146484375, 535.2525634765625]"
10885,0,32,0.6474023461341858,"[1594.2923583984375, 731.650146484375, 1614.562255859375, 753.9173583984375]"
10885,0,38,0.639071524143219,"[325.40167236328125, 572.631103515625, 382.4696960449219, 626.133056640625]"
10885,0,60,0.1306053251028061,"[398.6629943847656, 624.6575317382812, 1432.0882568359375, 1003.7041015625]"
10885,0,38,0.05992904677987099,"[1584.902587890625, 693.3292846679688, 1628.7442626953125, 763.4500122070312]"
10885,0,60,0.04343950003385544,"[426.3471984863281, 660.3764038085938, 908.7182006835938, 1014.5322265625]"
10885,0,38,0.03480852022767067,"[1599.7620849609375, 629.4125366210938, 1667.0550537109375, 759.4979858398438]"
10885,0,32,0.03160925209522247,"[1589.8974609375, 707.5682373046875, 1618.841064453125, 754.4832763671875]"
10885,0,60,0.030181236565113068,"[401.68798828125, 590.5702514648438, 1411.0107421875, 827.2998046875]"
10885,0,38,0.017691418528556824,"[305.31097412109375, 574.4561767578125, 379.2471008300781, 646.9461669921875]"
10885,0,60,0.01634739525616169,"[861.4740600585938, 713.3587646484375, 1412.997802734375, 1001.052734375]"
10885,0,38,0.015572572126984596,"[1624.005126953125, 623.1407470703125, 1668.3450927734375, 697.1417236328125]"
10885,0,32,0.012815701775252819,"[329.6662902832031, 575.3919067382812, 381.3652038574219, 622.2070922851562]"
10885,0,60,0.010348306968808174,"[461.5780334472656, 789.3639526367188, 843.8045043945312, 1002.6771240234375]"
10973,0,38,0.6984222531318665,"[1415.467041015625, 576.9226684570312, 1501.2901611328125, 628.7259521484375]"
10973,0,60,0.18431276082992554,"[405.5695495605469, 622.7687377929688, 1391.982421875, 936.7124633789062]"
10973,0,60,0.044943246990442276,"[428.6446228027344, 653.7521362304688, 906.2706909179688, 1013.1810302734375]"
10973,0,38,0.04337712749838829,"[1457.924072265625, 648.014404296875, 1505.413818359375, 665.4588623046875]"
10973,0,38,0.03429883345961571,"[460.515380859375, 462.4969787597656, 552.9437255859375, 539.09619140625]"
10973,0,32,0.031120510771870613,"[431.56494140625, 536.4107055664062, 447.5251159667969, 550.2568969726562]"
10973,0,38,0.029174046590924263,"[503.02178955078125, 468.7044677734375, 557.7228393554688, 534.5413818359375]"
10973,0,60,0.024410048499703407,"[863.4800415039062, 639.87548828125, 1426.7579345703125, 1007.2260131835938]"
10973,0,38,0.0209971833974123,"[1445.18505859375, 591.6693725585938, 1546.2828369140625, 630.3369750976562]"
10973,0,32,0.019861692562699318,"[410.5631103515625, 536.0960083007812, 449.4135437011719, 578.9586791992188]"
10973,0,32,0.01592399924993515,"[507.1210632324219, 470.1085205078125, 556.2949829101562, 531.9661254882812]"
10973,0,38,0.015188275836408138,"[456.1748352050781, 467.02056884765625, 512.8681030273438, 534.409912109375]"
11093,0,60,0.1439187377691269,"[390.4494323730469, 599.4708862304688, 1398.3212890625, 1019.0735473632812]"
11093,0,60,0.04731706157326698,"[419.5679016113281, 645.645263671875, 926.4490966796875, 1016.9383544921875]"
11093,0,60,0.03648778051137924,"[865.284423828125, 647.5147094726562, 1425.32373046875, 1009.4799194335938]"
13419,0,38,0.4990568161010742,"[1454.91552734375, 626.238037109375, 1515.73779296875, 676.5634155273438]"
13419,0,60,0.2102469950914383,"[410.1530456542969, 605.945556640625, 1403.031494140625, 943.1793212890625]"
13419,0,32,0.08863721042871475,"[1454.5325927734375, 628.135009765625, 1508.923828125, 671.6499633789062]"
13419,0,60,0.060774631798267365,"[431.383544921875, 651.5635986328125, 930.5390014648438, 1013.81982421875]"
13419,0,38,0.04534517228603363,"[523.5133056640625, 466.6946105957031, 557.0283203125, 534.381591796875]"
13419,0,38,0.04012920334935188,"[509.6246643066406, 540.2010498046875, 542.8715209960938, 584.1393432617188]"
13419,0,60,0.036202289164066315,"[860.8362426757812, 642.3155517578125, 1430.869873046875, 1009.1193237304688]"
13419,0,38,0.015548265539109707,"[1491.5892333984375, 658.7112426757812, 1525.568115234375, 679.0994262695312]"
13419,0,60,0.01254595909267664,"[948.386474609375, 776.0347290039062, 1387.5576171875, 1000.6158447265625]"
13491,0,60,0.15918752551078796,"[411.8845520019531, 604.1809692382812, 1401.307373046875, 927.5342407226562]"
13491,0,38,0.054622262716293335,"[197.77098083496094, 449.97637939453125, 372.12030029296875, 496.5526123046875]"
13491,0,60,0.04364456608891487,"[430.14154052734375, 647.6974487304688, 911.91796875, 1015.5638427734375]"
13491,0,60,0.029710669070482254,"[871.1942749023438, 646.8629760742188, 1427.11767578125, 1007.046875]"
13491,0,38,0.027291152626276016,"[1470.927978515625, 671.2984008789062, 1514.27734375, 698.2896728515625]"
13491,0,32,0.026917167007923126,"[508.32763671875, 466.83660888671875, 556.5859375, 533.9783935546875]"
13491,0,38,0.015769420191645622,"[456.59686279296875, 465.76953125, 512.0540771484375, 533.647705078125]"
13491,0,32,0.015002765692770481,"[458.2724304199219, 467.7306823730469, 509.3397216796875, 531.0722045898438]"
13491,0,38,0.012082586996257305,"[1499.914306640625, 632.025146484375, 1521.2047119140625, 696.6466674804688]"
14021,0,38,0.7770454287528992,"[1470.0245361328125, 628.5479736328125, 1526.2403564453125, 688.041748046875]"
14021,0,60,0.21377208828926086,"[418.3750305175781, 609.1567993164062, 1396.7137451171875, 955.8839721679688]"
14021,0,32,0.07010320574045181,"[1470.63720703125, 629.82080078125, 1520.3450927734375, 680.3997802734375]"
14021,0,38,0.06863577663898468,"[474.10791015625, 469.6857604980469, 547.4425659179688, 578.38720703125]"
14021,0,60,0.06703687459230423,"[429.1732482910156, 640.876220703125, 937.0059814453125, 1017.1966552734375]"
14021,0,38,0.044321853667497635,"[506.51763916015625, 468.8955383300781, 555.9765625, 545.3338623046875]"
14021,0,38,0.03500491380691528,"[502.734375, 544.510498046875, 542.63525390625, 578.3413696289062]"
14021,0,38,0.022579723969101906,"[1485.484375, 646.4934692382812, 1548.773681640625, 680.136962890625]"
14021,0,32,0.021399008110165596,"[515.7748413085938, 469.61102294921875, 556.8316650390625, 528.7865600585938]"
14021,0,60,0.01107880286872387,"[861.8641357421875, 702.3297729492188, 1416.3927001953125, 1001.3646240234375]"
14121,0,38,0.49580293893814087,"[315.08673095703125, 500.6432189941406, 387.3691101074219, 582.58251953125]"
14121,0,38,0.37443867325782776,"[344.32745361328125, 532.5150146484375, 387.6918029785156, 579.8615112304688]"
14121,0,60,0.15695670247077942,"[412.6306457519531, 605.1126708984375, 1402.2113037109375, 945.1493530273438]"
14121,0,38,0.0856567993760109,"[312.2867736816406, 497.6231689453125, 369.8288879394531, 546.4823608398438]"
14121,0,38,0.06447473168373108,"[1391.8712158203125, 603.2189331054688, 1493.063720703125, 680.1709594726562]"
14121,0,60,0.04279085993766785,"[428.9909973144531, 661.0386352539062, 906.0894165039062, 1014.917236328125]"
14121,0,38,0.03465106338262558,"[1389.6163330078125, 604.8934326171875, 1473.442138671875, 650.8264770507812]"
14121,0,60,0.033250708132982254,"[878.6273193359375, 659.3018798828125, 1425.35205078125, 1004.12353515625]"
14121,0,38,0.017509717494249344,"[333.2394104003906, 541.9624633789062, 376.9080810546875, 579.025634765625]"
14121,0,32,0.01194606814533472,"[459.2414855957031, 465.6865234375, 507.09100341796875, 533.69287109375]"
14203,0,60,0.1755409985780716,"[404.7014465332031, 578.0979614257812, 1430.75244140625, 1029.7496337890625]"
14203,0,38,0.17354752123355865,"[511.1211853027344, 468.02593994140625, 557.4634399414062, 532.5973510742188]"
